2018-11-16 18:55:54,087 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-16 18:55:54,097 DEBUG (0.009) INSERT INTO `users` (`username`, `gender`, `id_card`, `age`, `address`, `remark`, `create_time`, `update_time`) VALUES ('xiaowang', 0, '1010101', 31, 'bj', 'beijing', '2018-11-16 10:55:54.088823', '2018-11-16 10:55:54.088872'); args=['xiaowang', 0, '1010101', 31, 'bj', 'beijing', '2018-11-16 10:55:54.088823', '2018-11-16 10:55:54.088872']
2018-11-16 18:55:54,205 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-16 18:55:54,205 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-16 18:55:54,208 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'mqoi80xil8ldzfmsk15sk8zxagqxs435' AND `django_session`.`expire_date` > '2018-11-16 10:55:54.202703'); args=('mqoi80xil8ldzfmsk15sk8zxagqxs435', '2018-11-16 10:55:54.202703')
2018-11-16 18:55:54,210 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-16 18:55:54,213 DEBUG (0.001) SELECT `users`.`id`, `users`.`username`, `users`.`gender`, `users`.`id_card`, `users`.`age`, `users`.`address`, `users`.`remark`, `users`.`create_time`, `users`.`update_time` FROM `users`; args=()
2018-11-16 18:56:08,430 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-16 18:56:08,431 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-16 18:56:08,433 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'mqoi80xil8ldzfmsk15sk8zxagqxs435' AND `django_session`.`expire_date` > '2018-11-16 10:56:08.427603'); args=('mqoi80xil8ldzfmsk15sk8zxagqxs435', '2018-11-16 10:56:08.427603')
2018-11-16 18:56:08,435 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-16 18:56:08,437 DEBUG (0.001) INSERT INTO `users` (`username`, `gender`, `id_card`, `age`, `address`, `remark`, `create_time`, `update_time`) VALUES ('xioaohong', 1, '100102', 23, 'bj', 'beijing', '2018-11-16 10:56:08.436978', '2018-11-16 10:56:08.437025'); args=['xioaohong', 1, '100102', 23, 'bj', 'beijing', '2018-11-16 10:56:08.436978', '2018-11-16 10:56:08.437025']
2018-11-16 18:56:08,449 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-16 18:56:08,449 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-16 18:56:08,452 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'mqoi80xil8ldzfmsk15sk8zxagqxs435' AND `django_session`.`expire_date` > '2018-11-16 10:56:08.447157'); args=('mqoi80xil8ldzfmsk15sk8zxagqxs435', '2018-11-16 10:56:08.447157')
2018-11-16 18:56:08,454 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-16 18:56:08,457 DEBUG (0.001) SELECT `users`.`id`, `users`.`username`, `users`.`gender`, `users`.`id_card`, `users`.`age`, `users`.`address`, `users`.`remark`, `users`.`create_time`, `users`.`update_time` FROM `users`; args=()
2018-11-16 18:56:22,205 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-16 18:56:22,206 DEBUG (0.000) SELECT VERSION(); args=None
